Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Sprint-1/SPV-PIC-CBU/Staff-CBU-Assign-And-Submit,Chrome 145.0.7632.160,Staff CBU Submit,,11-03-2026 11:15:03,11-03-2026 11:17:19,2m - 16.223s,PASSED
"DATA BINDING - {""(Default) Lorem..."":""C:\\Users\\Lenovo T490\\Downloads\\Tester File\\loremipsum2.pdf""}",,,,,,,
"callTestCase(findTestCase(""Sprint-1/Login-CBU/Login-Staff-CBU""), [:], STOP_ON_FAILURE)",Chrome 145.0.7632.160,,,11-03-2026 11:15:03,11-03-2026 11:15:18,15.054s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:15:18,11-03-2026 11:15:23,4.522s,PASSED
"doubleClick(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""))",Chrome 145.0.7632.160,,,11-03-2026 11:15:23,11-03-2026 11:15:23,0.502s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_Dashboard/div_Monitoring  Review""))",Chrome 145.0.7632.160,,,11-03-2026 11:15:23,11-03-2026 11:15:26,2.489s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_Dashboard/div_Operasional Cabang""))",Chrome 145.0.7632.160,,,11-03-2026 11:15:26,11-03-2026 11:15:26,0.682s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_Dashboard/a_Petty Cash""))",Chrome 145.0.7632.160,,,11-03-2026 11:15:26,11-03-2026 11:15:28,1.368s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/Staff-Assign-And-Submit/Page_PettyCash/span_PEMERIKSAAN PETTY CASH KANTOR CABANG""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:15:28,11-03-2026 11:15:38,10.141s,WARNING
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assign-And-Submit/Page_PettyCash/select_Pilih OpsiSEMARANGSURABAYAJAKARTA GR_05f5b9""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:15:38,11-03-2026 11:15:39,1.177s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sprint1/Staff-Assign-And-Submit/Page_PettyCash/span_PEMERIKSAAN PETTY CASH KANTOR CABANG_1""))",Chrome 145.0.7632.160,,,11-03-2026 11:15:39,11-03-2026 11:15:39,0.331s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assign-And-Submit/Page_PettyCash/select_Pilih OpsiSEMARANGSURABAYAJAKARTA GR_05f5b9_1""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:15:39,11-03-2026 11:15:40,0.954s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assign-And-Submit/Page_PettyCash/select_Pilih OpsiBaruDalam ProsesMenunggu P_427f57""), ""1"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:15:40,11-03-2026 11:15:41,1.050s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assign-And-Submit/Page_PettyCash/button_Cari""))",Chrome 145.0.7632.160,,,11-03-2026 11:15:41,11-03-2026 11:15:42,0.457s,PASSED
